;Date;canyon;detector
322;05/06/2017;Arugot;proximity loggers
323;08/06/2017;Arugot;proximity loggers
324;08/06/2017;Arugot;proximity loggers
325;19/06/2017;Arugot;proximity loggers
326;20/06/2017;Arugot;proximity loggers
327;20/06/2017;Arugot;proximity loggers
328;20/06/2017;Arugot;proximity loggers
329;20/06/2017;Arugot;proximity loggers
330;20/06/2017;Arugot;proximity loggers
331;02/07/2017;Arugot;proximity loggers
332;29/08/2017;Arugot;proximity loggers
333;01/09/2017;Arugot;proximity loggers
334;01/09/2017;Arugot;proximity loggers
335;01/09/2017;Arugot;proximity loggers
336;01/09/2017;Arugot;proximity loggers
337;01/09/2017;Arugot;proximity loggers
338;01/09/2017;Arugot;proximity loggers
339;02/09/2017;Arugot;proximity loggers
340;04/09/2017;Arugot;proximity loggers
341;09/09/2017;Arugot;proximity loggers
342;09/09/2017;Arugot;proximity loggers
343;09/09/2017;Arugot;proximity loggers
344;09/09/2017;Arugot;proximity loggers
345;09/09/2017;Arugot;proximity loggers
346;09/09/2017;Arugot;proximity loggers
347;09/09/2017;Arugot;proximity loggers
348;09/09/2017;Arugot;proximity loggers
349;09/09/2017;Arugot;proximity loggers
350;09/09/2017;Arugot;proximity loggers
351;09/09/2017;Arugot;proximity loggers
352;09/09/2017;Arugot;proximity loggers
353;09/09/2017;Arugot;proximity loggers
354;09/09/2017;Arugot;proximity loggers
355;09/09/2017;Arugot;proximity loggers
356;09/09/2017;Arugot;proximity loggers
357;09/09/2017;Arugot;proximity loggers
358;09/09/2017;Arugot;proximity loggers
359;09/09/2017;Arugot;proximity loggers
360;21/09/2017;Arugot;proximity loggers
361;25/09/2017;Arugot;proximity loggers
362;25/09/2017;Arugot;proximity loggers
363;25/09/2017;Arugot;proximity loggers
364;25/09/2017;Arugot;proximity loggers
365;25/09/2017;Arugot;proximity loggers
366;25/09/2017;Arugot;proximity loggers
367;26/09/2017;Arugot;proximity loggers
368;26/09/2017;Arugot;proximity loggers
369;26/09/2017;Arugot;proximity loggers
370;26/09/2017;Arugot;proximity loggers
371;26/09/2017;Arugot;proximity loggers
372;26/09/2017;Arugot;proximity loggers
373;26/09/2017;Arugot;proximity loggers
374;26/09/2017;Arugot;proximity loggers
375;26/09/2017;Arugot;proximity loggers
376;26/09/2017;Arugot;proximity loggers
377;26/09/2017;Arugot;proximity loggers
378;26/09/2017;Arugot;proximity loggers
379;26/09/2017;Arugot;proximity loggers
380;02/10/2017;Arugot;proximity loggers
381;02/10/2017;Arugot;proximity loggers
382;17/10/2017;Arugot;proximity loggers
383;02/11/2017;Arugot;proximity loggers
384;02/11/2017;Arugot;proximity loggers
385;28/11/2017;Arugot;proximity loggers
386;29/11/2017;Arugot;proximity loggers
387;01/12/2017;Arugot;proximity loggers
388;12/12/2017;Arugot;proximity loggers
389;12/12/2017;Arugot;proximity loggers
390;11/01/2018;Arugot;proximity loggers
391;22/01/2018;Arugot;proximity loggers
392;22/01/2018;Arugot;proximity loggers
393;22/01/2018;Arugot;proximity loggers
394;23/01/2018;Arugot;proximity loggers
395;23/01/2018;Arugot;proximity loggers
396;23/01/2018;Arugot;proximity loggers
397;24/01/2018;Arugot;proximity loggers
398;24/01/2018;Arugot;proximity loggers
399;24/01/2018;Arugot;proximity loggers
400;24/01/2018;Arugot;proximity loggers
401;24/01/2018;Arugot;proximity loggers
402;24/01/2018;Arugot;proximity loggers
403;24/01/2018;Arugot;proximity loggers
404;24/01/2018;Arugot;proximity loggers
405;24/01/2018;Arugot;proximity loggers
406;24/01/2018;Arugot;proximity loggers
407;24/01/2018;Arugot;proximity loggers
408;24/01/2018;Arugot;proximity loggers
409;24/01/2018;Arugot;proximity loggers
410;24/01/2018;Arugot;proximity loggers
411;25/01/2018;Arugot;proximity loggers
412;25/01/2018;Arugot;proximity loggers
413;25/01/2018;Arugot;proximity loggers
414;25/01/2018;Arugot;proximity loggers
415;25/01/2018;Arugot;proximity loggers
416;25/01/2018;Arugot;proximity loggers
417;25/01/2018;Arugot;proximity loggers
418;25/01/2018;Arugot;proximity loggers
419;25/01/2018;Arugot;proximity loggers
420;25/01/2018;Arugot;proximity loggers
421;25/01/2018;Arugot;proximity loggers
422;25/01/2018;Arugot;proximity loggers
423;25/01/2018;Arugot;proximity loggers
424;25/01/2018;Arugot;proximity loggers
425;25/01/2018;Arugot;proximity loggers
426;25/01/2018;Arugot;proximity loggers
427;25/01/2018;Arugot;proximity loggers
428;25/01/2018;Arugot;proximity loggers
429;25/01/2018;Arugot;proximity loggers
430;25/01/2018;Arugot;proximity loggers
431;25/01/2018;Arugot;proximity loggers
432;25/01/2018;Arugot;proximity loggers
433;25/01/2018;Arugot;proximity loggers
434;25/01/2018;Arugot;proximity loggers
435;25/01/2018;Arugot;proximity loggers
436;25/01/2018;Arugot;proximity loggers
437;25/01/2018;Arugot;proximity loggers
438;26/01/2018;Arugot;proximity loggers
439;26/01/2018;Arugot;proximity loggers
440;26/01/2018;Arugot;proximity loggers
441;26/01/2018;Arugot;proximity loggers
442;26/01/2018;Arugot;proximity loggers
443;26/01/2018;Arugot;proximity loggers
444;26/01/2018;Arugot;proximity loggers
445;26/01/2018;Arugot;proximity loggers
446;26/01/2018;Arugot;proximity loggers
447;26/01/2018;Arugot;proximity loggers
448;26/01/2018;Arugot;proximity loggers
449;26/01/2018;Arugot;proximity loggers
450;26/01/2018;Arugot;proximity loggers
451;27/01/2018;Arugot;proximity loggers
452;28/01/2018;Arugot;proximity loggers
453;28/01/2018;Arugot;proximity loggers
454;29/01/2018;Arugot;proximity loggers
455;30/01/2018;Arugot;proximity loggers
456;31/01/2018;Arugot;proximity loggers
457;01/02/2018;Arugot;proximity loggers
458;01/02/2018;Arugot;proximity loggers
459;01/02/2018;Arugot;proximity loggers
460;01/02/2018;Arugot;proximity loggers
461;01/02/2018;Arugot;proximity loggers
462;01/02/2018;Arugot;proximity loggers
463;01/02/2018;Arugot;proximity loggers
464;01/02/2018;Arugot;proximity loggers
465;01/02/2018;Arugot;proximity loggers
466;01/02/2018;Arugot;proximity loggers
467;01/02/2018;Arugot;proximity loggers
468;01/02/2018;Arugot;proximity loggers
469;01/02/2018;Arugot;proximity loggers
470;01/02/2018;Arugot;proximity loggers
471;01/02/2018;Arugot;proximity loggers
472;01/02/2018;Arugot;proximity loggers
473;01/02/2018;Arugot;proximity loggers
474;02/02/2018;Arugot;proximity loggers
475;02/02/2018;Arugot;proximity loggers
476;02/02/2018;Arugot;proximity loggers
477;02/02/2018;Arugot;proximity loggers
478;02/02/2018;Arugot;proximity loggers
479;02/02/2018;Arugot;proximity loggers
480;02/02/2018;Arugot;proximity loggers
481;02/02/2018;Arugot;proximity loggers
482;02/02/2018;Arugot;proximity loggers
483;02/02/2018;Arugot;proximity loggers
484;02/02/2018;Arugot;proximity loggers
485;02/02/2018;Arugot;proximity loggers
486;02/02/2018;Arugot;proximity loggers
487;02/02/2018;Arugot;proximity loggers
488;02/02/2018;Arugot;proximity loggers
489;02/02/2018;Arugot;proximity loggers
490;02/02/2018;Arugot;proximity loggers
491;02/02/2018;Arugot;proximity loggers
492;02/02/2018;Arugot;proximity loggers
493;02/02/2018;Arugot;proximity loggers
494;02/02/2018;Arugot;proximity loggers
495;02/02/2018;Arugot;proximity loggers
496;04/02/2018;Arugot;proximity loggers
497;05/02/2018;Arugot;proximity loggers
498;31/07/2017;Arugot;proximity loggers
499;25/07/2017;Arugot;proximity loggers
500;08/07/2017;Arugot;proximity loggers
501;08/07/2017;Arugot;proximity loggers
502;09/07/2017;Arugot;proximity loggers
503;09/07/2017;Arugot;proximity loggers
504;10/07/2017;Arugot;proximity loggers
505;10/07/2017;Arugot;proximity loggers
506;10/07/2017;Arugot;proximity loggers
507;10/07/2017;Arugot;proximity loggers
508;11/07/2017;Arugot;proximity loggers
509;16/05/2017;Arugot;proximity loggers
510;16/05/2017;Arugot;proximity loggers
511;18/05/2017;Arugot;proximity loggers
512;19/05/2017;Arugot;proximity loggers
513;19/05/2017;Arugot;proximity loggers
514;20/05/2017;Arugot;proximity loggers
515;20/05/2017;Arugot;proximity loggers
516;22/05/2017;Arugot;proximity loggers
517;22/05/2017;Arugot;proximity loggers
518;22/05/2017;Arugot;proximity loggers
519;23/05/2017;Arugot;proximity loggers
520;23/05/2017;Arugot;proximity loggers
521;24/05/2017;Arugot;proximity loggers
522;25/05/2017;Arugot;proximity loggers
523;25/05/2017;Arugot;proximity loggers
524;25/05/2017;Arugot;proximity loggers
525;26/05/2017;Arugot;proximity loggers
526;27/05/2017;Arugot;proximity loggers
527;27/05/2017;Arugot;proximity loggers
528;28/05/2017;Arugot;proximity loggers
529;28/05/2017;Arugot;proximity loggers
530;29/05/2017;Arugot;proximity loggers
531;29/05/2017;Arugot;proximity loggers
532;30/05/2017;Arugot;proximity loggers
533;30/05/2017;Arugot;proximity loggers
534;02/06/2017;Arugot;proximity loggers
535;03/06/2017;Arugot;proximity loggers
536;03/06/2017;Arugot;proximity loggers
537;03/06/2017;Arugot;proximity loggers
538;04/06/2017;Arugot;proximity loggers
