,parent_ID,offspring.ID,from,to
283,2703,1705,AN07M0137,AI07F0099
284,1586,3972,AU06M0375,AI07M0169
285,2378,4137,DW04M0069,DH07M0092
286,8464,4149,DN07M0115,DW07M0093
287,987,4249,AS04M0323,AI07M0175
288,2703,4465,AN07M0137,AI07F0180
289,1709,7188,DN10M0052,DH08F0110
290,8767,1133,DW07M0119,DW09F0009
291,1793,3335,DN09M0035,DN10M0081
292,4469,4147,DN10M0101,DW10F0035
293,8464,8953,DN07M0115,DW08F0124
294,503,9194,AS01M0054,AI08F0217
295,2796,522,AS07M0141,AS11M0058
296,6838,1884,AN09M0195,AI09F0104
297,7210,2426,DN08M0111,DH09M0071
298,2796,203820,AS07M0141,AS12F0081
299,9685,6632,DH08M0130,DH09F0036
300,34,6731,AI07M0001,AI09M0193
301,648,7214,DN07M0005,DH09F0037
302,8853,8583,DN08M0122,DH09M0117
303,7210,8681,DN08M0111,DH09M0118
304,7210,8910,DN08M0111,DH09M0123
305,9685,9735,DH08M0130,DH09M0134
306,6772,359,AN08M0194,AI11M0007
307,6772,1741,AN08M0194,AI10M0070
308,34,1897,AI07M0001,AN11M0106
309,7893,1932,AC09M0203,AC10F0108
310,6772,2011,AN08M0194,AU10F0112
311,7893,2596,AC09M0203,AU10F0131
312,2796,2633,AS07M0141,AS12F0134
313,2615,203046,AN13M0133,AC13F0076
314,7893,3340,AC09M0203,AC11M0154
315,6772,3367,AN08M0194,AN10M0156
316,8464,3659,DN07M0115,DU10F0350
317,1897,3812,AN11M0106,AU10M0168
318,8464,4115,DN07M0115,DN10M0090
319,8464,4131,DN07M0115,DW10M0091
320,648,4401,DN07M0005,DH10F0097
321,3340,7893,AC11M0154,AC09M0203
322,9735,9694,DH09M0134,DH11M0131
323,1709,563,DN10M0052,DH11M0004
324,6772,1736,AN08M0194,AI11M0100
325,6772,2231,AN08M0194,AI11F0121
326,6772,2608,AN08M0194,AI12M0132
327,6838,2879,AN09M0195,AI11M0142
328,2202,2882,AN07M0119,AI12M0143
329,808,3274,AI04M0062,AC11M0478
330,7893,3553,AC09M0203,AC11M0164
331,573,203581,AI07M0059,AN13M0079
332,6772,3859,AN08M0194,AI12M0072
333,1301,4063,DN07M0018,DW11F0089
334,4469,4253,DN10M0101,DH11M0095
335,4469,2020,DN10M0101,DH12M0064
336,2796,2255,AS07M0141,AN14M0122
337,1593,2446,DN09M0050,DH12M0073
338,4439,2667,DN07M0099,AS12M0136
339,1897,3353,AN11M0106,AI12M0155
340,2608,3410,AI12M0132,AI12M0159
341,573,203828,AI07M0059,AS12F0082
342,6838,4055,AN09M0195,AI12F0171
343,4439,4571,DN07M0099,AS13F0182
344,2056,4599,DN10M0065,DH12M0102
345,7893,4629,AC09M0203,AC14F0183
346,6838,8289,AN09M0195,AI14M0205
347,1709,8577,DN10M0052,DH12F0116
348,6838,9074,AN09M0195,AI14M0214
349,1301,2285,DN07M0018,DW14F0039
350,3274,3092,AC11M0478,AC13M0071
351,3274,3325,AC11M0478,AC14F0152
352,6838,4083,AN09M0195,AI13F0172
353,3274,8452,AC11M0478,AC14M0208
354,5542,8463,AN07M0189,AN15M0209
355,203581,3375,AN13M0079,AC14F0158
356,1709,4435,DN10M0052,DW14F0098
357,203694,8391,AN12M0080,AI14M0207
358,204455,9011,DN13M0043,DH15F0125
359,203694,9119,AN12M0080,AI14U0215
360,573,9413,AI07M0059,AS15M0222
361,203694,2526,AN12M0080,AC15M0129
362,2893,8175,DN13M0078,DH15F0114
363,2893,8834,DN13M0078,DH16M0120
